area	ssprove_file	ssprove_symbol	easycrypt_file	easycrypt_symbol	relation	scope
foundation-query-count	beaconcrypt-core/proofs/ssprove/BoundedRom.v	run_bounded_rom_query_count_bound	beaconcrypt-core/proofs/easycrypt/ProtocolRom.ec	bounded_rom_query_count_bound	reviewed-bounded-counterpart	SSProve proves a whole-run trace bound; EasyCrypt supplies the operation-level fuel arithmetic used by its stateful oracle.
foundation-trace-consistency	beaconcrypt-core/proofs/ssprove/BoundedRom.v	run_bounded_rom_trace_consistent	beaconcrypt-core/proofs/easycrypt/ProtocolRom.ec	bounded_classical_rom_query_preserves_consistency	reviewed-bounded-counterpart	SSProve proves whole-run consistency; EasyCrypt proves the one-query invariant preserved by its stateful runner.
foundation-same-run-extraction	beaconcrypt-core/proofs/ssprove/BoundedRom.v	bounded_rom_same_run_extractor_reduction	beaconcrypt-core/proofs/easycrypt/ProtocolRom.ec	bounded_rom_same_run_extractor_reduction	reviewed-bounded-counterpart	SSProve has a generic probability reduction; EasyCrypt has a specialized definitional hidden-query implication, so the propositions are not equivalent.
foundation-domain-separation	beaconcrypt-core/proofs/ssprove/PqxdhRatchetRom.v	protocol_root_query_differs_from_symmetric_query	beaconcrypt-core/proofs/easycrypt/ProtocolRom.ec	protocol_rom_domain_separation	reviewed-bounded-counterpart	Boolean root/symmetric domain tags in each finite model.
closed-hidden-root	beaconcrypt-core/proofs/ssprove/PqxdhRatchetGames.v	hidden_root_confidentiality	beaconcrypt-core/proofs/easycrypt/PqxdhGames.ec	hidden_root_confidentiality	reviewed-bounded-counterpart	Same zero-gap result shape; the SSProve game uses a multi-coin tape while EasyCrypt collapses the view to one uniform pad.
closed-active-classical	beaconcrypt-core/proofs/ssprove/PqxdhRatchetGames.v	active_classical_confidentiality	beaconcrypt-core/proofs/easycrypt/PqxdhGames.ec	active_classical_confidentiality	reviewed-bounded-counterpart	Closed active-classical finite-view result shape; replacement is definitionally rejected and there is no implementation refinement.
closed-passive-classical	beaconcrypt-core/proofs/ssprove/PqxdhRatchetGames.v	passive_classical_confidentiality	beaconcrypt-core/proofs/easycrypt/PqxdhGames.ec	passive_classical_confidentiality	reviewed-bounded-counterpart	Closed passive-classical finite-view result shape over different bounded game encodings.
closed-passive-quantum-capability	beaconcrypt-core/proofs/ssprove/PqxdhRatchetGames.v	passive_quantum_capability_confidentiality	beaconcrypt-core/proofs/easycrypt/PqxdhGames.ec	passive_quantum_capability_confidentiality	reviewed-bounded-counterpart	Quantum capability label with a classical interface; not QPT, QROM, or proposition equivalence.
closed-active-quantum	beaconcrypt-core/proofs/ssprove/PqxdhRatchetGames.v	active_quantum_advantage_one	beaconcrypt-core/proofs/easycrypt/PqxdhGames.ec	active_quantum_advantage_one	reviewed-bounded-counterpart	Each explicit recovery/substitution game has advantage one; neither is a full implementation attack proof.
adaptive-protocol-generic	beaconcrypt-core/proofs/ssprove/PqxdhRatchetRom.v	pqxdh_ratchet_bounded_rom_confidentiality_bound	beaconcrypt-core/proofs/easycrypt/AdaptiveRom.ec	adaptive_rom_advantage_bad_query_bound	reviewed-bounded-counterpart	Each fuel-bounded classical-ROM result bounds advantage by its exact hidden-query bad event; game encodings differ.
adaptive-active-classical-forward	beaconcrypt-core/proofs/ssprove/PqxdhRatchetRom.v	active_classical_forward_bounded_rom_confidentiality	beaconcrypt-core/proofs/easycrypt/AdaptiveRom.ec	active_classical_forward_bounded_rom_confidentiality	reviewed-bounded-counterpart	Forward active-classical result shape in each bounded classical-ROM abstraction.
adaptive-passive-classical-forward	beaconcrypt-core/proofs/ssprove/PqxdhRatchetRom.v	passive_classical_forward_bounded_rom_confidentiality	beaconcrypt-core/proofs/easycrypt/AdaptiveRom.ec	passive_classical_forward_bounded_rom_confidentiality	reviewed-bounded-counterpart	Forward passive-classical result shape in each bounded classical-ROM abstraction.
adaptive-passive-quantum-classical-query	beaconcrypt-core/proofs/ssprove/PqxdhRatchetRom.v	passive_quantum_classical_query_forward_confidentiality	beaconcrypt-core/proofs/easycrypt/AdaptiveRom.ec	passive_quantum_classical_query_forward_confidentiality	reviewed-bounded-counterpart	Passive-quantum capability labels restricted to classical oracle queries; not QPT or QROM.
